Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Description,Supplier Postcode,Supplier type,Contract Number,Project code,Expenditure type,VAT Registration Number,Purchase Invoice Number
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071096,9697,CQCRG,M20 2RN, , , , ,,MAN000028418
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071096,2250,PREMG,M20 2RN, , , , ,,MAN000028418
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,KWOK S,33071096,9891.39,QUASPG,M20 2RN, , , , ,,MAN000028418
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MAZHARI HK,33071098,25322.8,GSUMG,M11 4EJ, , , , ,,MAN000028420
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAZHARI HK,33071098,507.59,PARTIG,M11 4EJ, , , , ,,MAN000028420
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,MAZHARI HK,33071098,6985.82,HEALTH,M11 4EJ, , , , ,,MAN000028420
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MAZHARI HK,33071098,2677.46,QUASPG,M11 4EJ, , , , ,,MAN000028420
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MIHAJLOVIC S,33071100,61663.81,GSUMG,M16 8EE, , , , ,,MAN000028424
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MIHAJLOVIC S,33071100,1216.69,PARTIG,M16 8EE, , , , ,,MAN000028424
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,MIHAJLOVIC S,33071100,404.17,PREMG,M16 8EE, , , , ,,MAN000028424
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MIHAJLOVIC S,33071100,5090.26,QUASPG,M16 8EE, , , , ,,MAN000028424
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,MIHAJLOVIC S,33071100,395.21,PRYEEG,M16 8EE, , , , ,,MAN000028424
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,MISTRY NU AND PARTNERS,33071102,5750.7,EXTHDG,M11 3AA, , , , ,,MAN000028426
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MISTRY NU AND PARTNERS,33071102,68792.92,GSUMG,M11 3AA, , , , ,,MAN000028426
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,MISTRY NU AND PARTNERS,33071102,2863.45,CLINDG,M11 3AA, , , , ,,MAN000028426
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MISTRY NU AND PARTNERS,33071102,1368.22,PARTIG,M11 3AA, , , , ,,MAN000028426
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MISTRY NU AND PARTNERS,33071102,712.5,NRENT,M11 3AA, , , , ,,MAN000028426
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MISTRY NU AND PARTNERS,33071102,4811.59,QUASPG,M11 3AA, , , , ,,MAN000028426
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,MOKASHI A,33071104,56134.82,GSUMG,M11 4EJ, , , , ,,MAN000028428
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MOKASHI A,33071104,1140.85,PARTIG,M11 4EJ, , , , ,,MAN000028428
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,MOKASHI A,33071104,17568.98,HEALTH,M11 4EJ, , , , ,,MAN000028428
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MOKASHI A,33071104,3202.44,QUASPG,M11 4EJ, , , , ,,MAN000028428
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NANAVATI BA,33071106,90305.75,ZPMSUP,M13 0YL, , , , ,,MAN000028430
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,NANAVATI BA,33071106,7581.69,EXTHDP,M13 0YL, , , , ,,MAN000028430
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,NANAVATI BA,33071106,3775.16,CLINDP,M13 0YL, , , , ,,MAN000028430
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NANAVATI BA,33071106,1712.35,PARTIP,M13 0YL, , , , ,,MAN000028430
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NANAVATI BA,33071106,2816.67,NRENT,M13 0YL, , , , ,,MAN000028430
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NANAVATI BA,33071106,6963.26,QUASPP,M13 0YL, , , , ,,MAN000028430
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071107,-362.24,STATL,M11 3BB, , , , ,,MAN000028431
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071107,-29.88,VOLL,M11 3BB, , , , ,,MAN000028431
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071107,-46500.27,SUPCEE,M11 3BB, , , , ,,MAN000028431
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071107,-44227.2,SUPCER,M11 3BB, , , , ,,MAN000028431
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,85962.79,GSUMG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,1715.95,PARTIG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,11498,CQCRG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,7479.17,NRENT,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,5968.7,QUASPG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,599.17,PRYERG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,1562.49,PENEEG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,1797.51,PENERG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR NATHOO,33071108,520.83,PRYEEG,M11 3BB, , , , ,,MAN000028432
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,NGAN CY,33071110,83797.34,GSUMG,M13 9UJ, , , , ,,MAN000028434
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NGAN CY,33071110,1702.71,PARTIG,M13 9UJ, , , , ,,MAN000028434
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,NGAN CY,33071110,6720,LOCADG,M13 9UJ, , , , ,,MAN000028434
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NGAN CY,33071110,3099.11,QUASPG,M13 9UJ, , , , ,,MAN000028434
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071111,-425.44,STATL,M11 1JG, , , , ,,MAN000028435
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071111,-35.1,VOLL,M11 1JG, , , , ,,MAN000028435
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071111,-60387.81,SUPCEE,M11 1JG, , , , ,,MAN000028435
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071111,-59078.63,SUPCER,M11 1JG, , , , ,,MAN000028435
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071112,93843.85,GSUMG,M11 1JG, , , , ,,MAN000028436
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071112,1831.04,PARTIG,M11 1JG, , , , ,,MAN000028436
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071112,77223.24,HEALTH,M11 1JG, , , , ,,MAN000028436
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ODRISCOLL BJ,33071112,7724.04,QUASPG,M11 1JG, , , , ,,MAN000028436
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHFIELD M,33071114,62554.83,BABALP,M40 5HP, , , , ,,MAN000028438
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NORTHFIELD M,33071114,1232.36,PARTIP,M40 5HP, , , , ,,MAN000028438
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,NORTHFIELD M,33071114,2416.67,NRENT,M40 5HP, , , , ,,MAN000028438
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,NORTHFIELD M,33071114,4895.37,QUASPP,M40 5HP, , , , ,,MAN000028438
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,126569.95,ZPMSUP,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,6358.13,EXTHDP,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,3165.91,CLINDP,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,2358.16,PARTIP,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,5225,SICKC,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Other,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,1258.33,PREMP,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,594.39,RAMWP,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,P GILL,33071116,9447.26,QUASPP,M14 6XU, , , , ,,MAN000028440
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,PATEL S,33071118,44651.15,BABALP,M23 9AB, , , , ,,MAN000028442
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,PATEL S,33071118,872.71,PARTIP,M23 9AB, , , , ,,MAN000028442
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,PATEL S,33071118,3166.58,NRENT,M23 9AB, , , , ,,MAN000028442
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,PATEL S,33071118,4219.07,QUASPP,M23 9AB, , , , ,,MAN000028442
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,RANDHAWA JS,33071120,46056.78,GSUMG,M22 4GL, , , , ,,MAN000028448
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,RANDHAWA JS,33071120,899.56,PARTIG,M22 4GL, , , , ,,MAN000028448
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,RANDHAWA JS,33071120,3336.29,QUASPG,M22 4GL, , , , ,,MAN000028448
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071121,-3048.5,ZOOHP,M40 3HD, , , , ,,MAN000028449
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071121,-22.56,VOLL,M40 3HD, , , , ,,MAN000028449
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071121,-14236.32,PRYERP,M40 3HD, , , , ,,MAN000028449
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS TPS Added Years Adj EEs,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071121,-191.96,URLS,M40 3HD, , , , ,,MAN000028449
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071121,-22268.93,SUPCEE,M40 3HD, , , , ,,MAN000028449
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071121,-20301.26,SUPCER,M40 3HD, , , , ,,MAN000028449
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071121,-16415.04,PRYEEP,M40 3HD, , , , ,,MAN000028449
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071122,60648.92,ZPMSUP,M40 3HD, , , , ,,MAN000028450
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071122,1151.24,PARTIP,M40 3HD, , , , ,,MAN000028450
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071122,3608.33,NRENT,M40 3HD, , , , ,,MAN000028450
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071122,6888.04,QUASPP,M40 3HD, , , , ,,MAN000028450
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071122,3230.64,PRYERP,M40 3HD, , , , ,,MAN000028450
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,DR RODGER,33071122,3834.72,PRYEEP,M40 3HD, , , , ,,MAN000028450
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Achievement,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071123,-21727.32,QUACHG,M40 9NB, , , , ,,MAN000028451
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071123,-1437.89,PRYERG,M40 9NB, , , , ,,MAN000028451
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071123,-617.03,SUPCEE,M40 9NB, , , , ,,MAN000028451
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071123,-709.83,SUPCER,M40 9NB, , , , ,,MAN000028451
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071123,-1249.9,PRYEEG,M40 9NB, , , , ,,MAN000028451
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071124,42445.78,GSUMG,M40 9NB, , , , ,,MAN000028452
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071124,859.64,PARTIG,M40 9NB, , , , ,,MAN000028452
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SIMPSON MEDICAL CENTRE,33071124,36.85,QUASPG,M40 9NB, , , , ,,MAN000028452
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SINHA NK,33071126,35333.53,GSUMG,M9 0FN, , , , ,,MAN000028454
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,SINHA NK,33071126,710.48,PARTIG,M9 0FN, , , , ,,MAN000028454
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SINHA NK,33071126,3112.5,NRENT,M9 0FN, , , , ,,MAN000028454
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SINHA NK,33071126,3080.83,QUASPG,M9 0FN, , , , ,,MAN000028454
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,TAMKIN WP,33071128,74559.81,GSUMG,M20 1EB, , , , ,,MAN000028456
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,TAMKIN WP,33071128,1464.64,PARTIG,M20 1EB, , , , ,,MAN000028456
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,TAMKIN WP,33071128,491.67,PREMG,M20 1EB, , , , ,,MAN000028456
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,TAMKIN WP,33071128,581.66,RAMW,M20 1EB, , , , ,,MAN000028456
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TAMKIN WP,33071128,6541.55,QUASPG,M20 1EB, , , , ,,MAN000028456
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,38896.62,BABALP,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,751.76,PARTIP,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,2183.33,NRENT,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,148.6,RAMWP,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,3526.49,QUASPP,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,2699.94,PRYERP,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,7806.41,SUPCEE,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,6399.32,SUPCER,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,UNWIN MR,33071130,5916.02,PRYEEP,M20 1BH, , , , ,,MAN000028458
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WHITING M,33071132,113974.24,GSUMG,M8 0DA, , , , ,,MAN000028460
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WHITING M,33071132,2275.95,PARTIG,M8 0DA, , , , ,,MAN000028460
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Prem Other,PRC DELEGATED CO-COMMISSIONING,WHITING M,33071132,691.67,PREMG,M8 0DA, , , , ,,MAN000028460
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WHITING M,33071132,8864.93,QUASPG,M8 0DA, , , , ,,MAN000028460
Department of Health,NHS Manchester CCG,31/07/2020,ME - GMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,WHITING M,33071132,4409.88,PRYERG,M8 0DA, , , , ,,MAN000028460
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,WHITING M,33071132,4140,PRYEEG,M8 0DA, , , , ,,MAN000028460
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WARD D,33071134,64652.69,GSUMG,M19 3BX, , , , ,,MAN000028462
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WARD D,33071134,1270.9,PARTIG,M19 3BX, , , , ,,MAN000028462
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WARD D,33071134,6099.14,QUASPG,M19 3BX, , , , ,,MAN000028462
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs Adjustments,PRC DELEGATED CO-COMMISSIONING,WARD D,33071134,656.25,PENEEG,M19 3BX, , , , ,,MAN000028462
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS GP Statutory Levy,PRC DELEGATED CO-COMMISSIONING,WATERHOUSE DG,33071135,-377.6,STATL,M22 5RX, , , , ,,MAN000028463
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Voluntary Levy,PRC DELEGATED CO-COMMISSIONING,WATERHOUSE DG,33071135,-31.15,VOLL,M22 5RX, , , , ,,MAN000028463
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension EEs,PRC DELEGATED CO-COMMISSIONING,WATERHOUSE DG,33071135,-13432.35,SUPCEE,M22 5RX, , , , ,,MAN000028463
Department of Health,NHS Manchester CCG,31/07/2020,ME-GMS GP Pension ERs Adjustments,PRC DELEGATED CO-COMMISSIONING,WATERHOUSE DG,33071135,-13262.09,SUPCER,M22 5RX, , , , ,,MAN000028463
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WATERHOUSE DG,33071136,79177.64,GSUMG,M22 5RX, , , , ,,MAN000028464
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,WATERHOUSE DG,33071136,1550.01,PARTIG,M22 5RX, , , , ,,MAN000028464
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,WATERHOUSE DG,33071136,7547.13,QUASPG,M22 5RX, , , , ,,MAN000028464
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WORDEN TW,33071138,6619.37,EXTHDG,M1 3LY, , , , ,,MAN000028466
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,WORDEN TW,33071138,63499.04,GSUMG,M1 3LY, , , , ,,MAN000028466
Department of Health,NHS Manchester CCG,31/07/2020,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,WORDEN TW,33071138,3295.99,CLINDG,M1 3LY, , , , ,,MAN000028466
